frecuencia_hz,partida_g1_db,partida_g1_fase_grados,partida_g3_db,partida_g3_fase_grados,partida_g5_db,partida_g5_fase_grados,partida_g8_db,partida_g8_fase_grados,partida_g11_db,partida_g11_fase_grados,simple_g1_db,simple_g1_fase_grados,simple_g3_db,simple_g3_fase_grados,simple_g5_db,simple_g5_fase_grados,simple_g8_db,simple_g8_fase_grados,simple_g11_db,simple_g11_fase_grados
20.8929613,-0.040125446,7.62291481,9.50221525,7.62222016,13.9391145,7.62152553,18.0214006,7.62048359,20.787341,7.61944169,-0.133728133,7.3688545,9.02228428,19.1593565,13.426429,21.6167641,17.4973475,23.0051053,20.2598394,23.6365807
21.8776162,-0.0366517831,7.27751313,9.50568892,7.27678574,13.9425882,7.27605837,18.0248743,7.27496733,20.7908147,7.27387632,-0.123010268,7.05404989,9.06529638,18.3611724,13.4723047,20.7095334,17.5442252,22.0356403,20.3070247,22.6386692
22.9086765,-0.0334824943,6.9473702,9.5088582,6.94660853,13.9457575,6.94584688,18.0280436,6.94470442,20.7939839,6.94356199,-0.113082676,6.75097324,9.10494715,17.5907824,13.5145708,19.8347948,17.5874055,21.1014193,20.3504856,21.6772684
23.9883292,-0.0305910187,6.63180858,9.51174968,6.63101102,13.948649,6.63021347,18.030935,6.62901717,20.7968754,6.6278209,-0.103898131,6.45932514,9.14146812,16.8478165,13.5534798,18.9919929,17.6271488,20.2017685,20.3904848,20.7516484
25.1188643,-0.0279530962,6.33017884,9.5143876,6.32934369,13.9512869,6.32850855,18.033573,6.32725587,20.7995133,6.32600322,-0.0954105448,6.17879928,9.17507974,16.1318318,13.5892719,18.1805047,17.663702,19.3359511,20.4272715,19.8610186
26.3026799,-0.0255465713,6.04185853,9.51679413,6.04098402,13.9536934,6.04010952,18.0359795,6.0387978,20.8019199,6.03748612,-0.0875752162,5.90908361,9.20599106,15.4423231,13.6221739,17.3996498,17.6972984,18.5031774,20.4610809,19.0045382
27.542287,-0.023351213,5.76625122,9.51898949,5.76533549,13.9558888,5.76441978,18.0381748,5.76304625,20.8041152,5.76167275,-0.0803490412,5.64986157,9.23439971,14.7787324,13.6523998,16.6487005,17.7281578,17.7026148,20.4921346,18.1813251
28.840315,-0.0213485497,5.50278551,9.52099215,5.50182662,13.9578914,5.50086776,18.0401775,5.49942949,20.8061179,5.49799126,-0.073690666,5.40081341,9.26049191,14.1404576,13.6801508,15.9268904,17.7564868,16.9333962,20.5206407,17.3904653
30.1995172,-0.0195217179,5.25091404,9.52281898,5.24990997,13.9597183,5.24890591,18.0420043,5.24739986,20.8079447,5.24589385,-0.0675605998,5.16161743,9.28444263,13.5268611,13.7056156,15.2334231,17.7824788,16.1946286,20.5467944,16.6310205
31.6227766,-0.017855324,5.0101126,9.52448538,5.0090612,13.9613847,5.00800983,18.0436707,5.0064328,20.8096111,5.00485581,-0.0619212877,4.93195126,9.30641584,12.9372772,13.7289706,14.5674794,17.8063149,15.4854001,20.5707778,15.9020357
33.1131121,-0.0163353168,4.77987913,9.52600538,4.77877819,13.9629047,4.77767726,18.0451907,4.77602591,20.8111311,4.7743746,-0.0567371511,4.71149302,9.32656486,12.3710187,13.7503806,13.9282239,17.8281637,14.8047866,20.5927611,15.2025456
34.673685,-0.0149488721,4.55973291,9.52739183,4.55858008,13.9642911,4.55742727,18.0465772,4.55569809,20.8125176,4.55396895,-0.051974599,4.49992244,9.34503271,11.8273828,13.7699993,13.3148115,17.8481826,14.1518578,20.6129026,14.5315802
36.3078055,-0.0136842862,4.3492136,9.52865641,4.34800643,13.9655557,4.34679929,18.0478418,4.34498862,20.8137821,4.34317799,-0.0476020154,4.29692183,9.36195257,11.3056572,13.7879692,12.7263921,17.8665177,13.5256821,20.6313496,13.8881703
