tiempo_s,entrada_v,entrada_pcm1808_v,riel_positivo_v,riel_negativo_v,entrada_no_inversora_v,salida_etapa_a_v,salida_etapa_b_v
0.00668943274,-1.39268777,-2.91433994,8.98236425,0,3.09542789,1.52316005,1.5829162
0.00669443274,-1.4095012,-2.91423029,8.98236425,0,3.07868475,1.52315786,1.58291546
0.00669943274,-1.42492362,-2.91412055,8.98236424,0,3.06333341,1.52315587,1.58291482
0.00670443274,-1.43893981,-2.9140108,8.98236424,0,3.04938903,1.52315404,1.58291418
0.00670943274,-1.45153595,-2.91390096,8.98236424,0,3.03686538,1.5231524,1.58291365
0.00671443274,-1.46269959,-2.91379111,8.98236424,0,3.0257748,1.52315093,1.58291312
0.00671943274,-1.47241972,-2.91368117,8.98236424,0,3.01612824,1.52314966,1.58291269
0.00672443274,-1.48068676,-2.91357123,8.98236424,0,3.00793524,1.52314856,1.58291228
0.00672943274,-1.48749253,-2.91346118,8.98236424,0,3.00120386,1.52314765,1.58291196
0.00673443274,-1.49283033,-2.91335113,8.98236424,0,2.99594076,1.52314692,1.58291165
0.00673943274,-1.49669489,-2.91324099,8.98236424,0,2.99215112,1.52314639,1.58291145
0.00674443274,-1.49908239,-2.91313083,8.98236424,0,2.98983869,1.52314603,1.58291126
0.00674943274,-1.49999047,-2.91302058,8.98236424,0,2.98900576,1.52314588,1.58291116
0.00675443274,-1.49941825,-2.91291032,8.98236424,0,2.98965313,1.52314589,1.58291108
0.00675943274,-1.49736628,-2.91279997,8.98236424,0,2.99178019,1.52314611,1.5829111
0.00676443274,-1.49383659,-2.9126896,8.98236424,0,2.99538481,1.52314651,1.58291114
0.00676943274,-1.48883267,-2.91257914,8.98236424,0,3.00046345,1.5231471,1.58291127
0.00677443274,-1.48235944,-2.91246867,8.98236424,0,3.0070111,1.52314787,1.58291142
0.00677943274,-1.47442331,-2.91235811,8.98236424,0,3.0150213,1.52314883,1.58291166
0.00678443274,-1.4650321,-2.91224753,8.98236423,0,3.02448613,1.52314997,1.58291192
0.00678943274,-1.45419508,-2.91213686,8.98236423,0,3.03539626,1.5231513,1.58291228
0.00679443274,-1.44192294,-2.91202618,8.98236423,0,3.04774093,1.52315281,1.58291265
0.00679943274,-1.4282278,-2.91191542,8.98236423,0,3.06150794,1.5231545,1.58291312
0.00680443274,-1.41312318,-2.91180463,8.98236423,0,3.07668372,1.52315637,1.5829136
0.00680943274,-1.39662397,-2.91169377,8.98236423,0,3.09325328,1.52315842,1.58291417
0.00681443274,-1.37874646,-2.91158288,8.98236423,0,3.11120028,1.52316064,1.58291477
0.00681943274,-1.35950829,-2.91147192,8.98236423,0,3.130507,1.52316304,1.58291545
0.00682443274,-1.33892846,-2.91136094,8.98236423,0,3.1511544,1.52316561,1.58291615
0.00682943274,-1.31702726,-2.91124988,8.98236423,0,3.17312208,1.52316835,1.58291693
0.00683443274,-1.29382632,-2.9111388,8.98236423,0,3.19638838,1.52317124,1.58291773
0.00683943274,-1.26934852,-2.91102765,8.98236423,0,3.22093034,1.52317431,1.58291861
0.00684443274,-1.24361804,-2.91091649,8.98236423,0,3.24672373,1.52317754,1.58291952
0.00684943274,-1.21666025,-2.91080525,8.98236423,0,3.2737431,1.52318092,1.5829205
0.00685443274,-1.18850176,-2.91069399,8.98236423,0,3.30196178,1.52318446,1.5829215
0.00685943274,-1.15917037,-2.91058267,8.98236423,0,3.33135193,1.52318815,1.58292257
0.00686443274,-1.12869502,-2.91047132,8.98236423,0,3.36188454,1.52319198,1.58292367
0.00686943274,-1.09710578,-2.91035819,8.98236423,0,3.39352948,1.52321961,1.58292656
0.00687443274,-1.06443383,-2.91023431,8.98236422,0,3.42625552,1.52334898,1.5829402
0.00687943274,-1.03071141,-2.91008368,8.98236422,0,3.46003036,1.52362593,1.58298059
0.00688443274,-0.995971801,-2.90989452,8.98236422,0,3.49482068,1.52404531,1.58305953
0.00688943274,-0.960249291,-2.90966255,8.98236422,0,3.53059213,1.52461352,1.58318128
0.00689443274,-0.923579131,-2.90938529,8.98236422,0,3.56730942,1.52533692,1.58334833
0.00689943274,-0.88599751,-2.90905965,8.98236422,0,3.60493632,1.52622488,1.58356377
0.00690443274,-0.847541516,-2.90868196,8.98236422,0,3.64343568,1.52728958,1.58383127
0.00690943274,-0.808249101,-2.90824726,8.98236422,0,3.68276951,1.52854689,1.58415581
0.00691443274,-0.768159042,-2.90774912,8.98236422,0,3.722899,1.53001739,1.5845438
0.00691943274,-0.727310902,-2.90717901,8.98236422,0,3.76378454,1.53172787,1.58500377
0.00692443274,-0.685744995,-2.90652569,8.98236422,0,3.80538579,1.53371365,1.58554699
0.00692943274,-0.64350234,-2.9057739,8.98236422,0,3.84766169,1.5360221,1.58618869
