frecuencia_hz,carga_1meg_cable_300pf_db,carga_1meg_cable_600pf_db,carga_10k_cable_300pf_db,carga_10k_cable_600pf_db
89.1250938,-0.0638948471,-0.0598988054,-5.20764627,-5.20642414
91.2010839,-0.0636442439,-0.0594597137,-5.21240382,-5.21112554
93.3254301,-0.0633818226,-0.0589999052,-5.21738001,-5.21604307
95.4992586,-0.0631070256,-0.0585184014,-5.22258461,-5.2211864
97.7237221,-0.0628192687,-0.0580141773,-5.22802783,-5.22656561
100,-0.0625179405,-0.0574861595,-5.23372029,-5.23219122
102.329299,-0.0622024003,-0.0569332237,-5.23967303,-5.23807416
104.712855,-0.0618719772,-0.0563541924,-5.24589759,-5.24422585
107.151931,-0.0615259688,-0.0557478322,-5.25240596,-5.25065814
109.64782,-0.0611636392,-0.0551128512,-5.25921063,-5.25738339
112.201845,-0.0607842179,-0.0544478963,-5.26632459,-5.26441446
114.815362,-0.0603868979,-0.0537515503,-5.27376136,-5.27176474
117.489755,-0.059970834,-0.0530223286,-5.28153499,-5.27944813
120.226443,-0.0595351409,-0.0522586763,-5.2896601,-5.28747911
123.026877,-0.0590788917,-0.0514589646,-5.29815188,-5.29587271
125.892541,-0.0586011153,-0.0506214873,-5.30702612,-5.30464456
128.824955,-0.0581007947,-0.0497444571,-5.3162992,-5.3138109
131.825674,-0.057576865,-0.048826002,-5.32598814,-5.32338856
134.896288,-0.0570282105,-0.0478641608,-5.3361106,-5.33339506
138.038426,-0.0564536628,-0.0468568789,-5.3466849,-5.34384852
141.253754,-0.0558519982,-0.0458020042,-5.35773005,-5.35476778
144.543977,-0.0552219348,-0.044697282,-5.36926572,-5.36617234
147.910839,-0.0545621302,-0.0435403502,-5.38131231,-5.37808242
151.356125,-0.0538711781,-0.042328734,-5.39389094,-5.39051894
154.881662,-0.0531476055,-0.041059841,-5.40702347,-5.40350357
158.489319,-0.0523898696,-0.0397309546,-5.42073251,-5.41705873
162.18101,-0.0515963543,-0.038339229,-5.43504143,-5.43120759
165.958691,-0.0507653667,-0.0368816822,-5.44997437,-5.44597409
169.824365,-0.0498951336,-0.0353551898,-5.46555626,-5.46138297
173.780083,-0.0489837974,-0.0337564779,-5.48181284,-5.47745975
177.827941,-0.0480294123,-0.0320821159,-5.49877062,-5.49423075
181.970086,-0.0470299399,-0.0303285091,-5.51645695,-5.51172311
186.208714,-0.0459832447,-0.0284918903,-5.53489996,-5.52996477
190.546072,-0.0448870898,-0.0265683117,-5.55412864,-5.54898448
194.98446,-0.0437391315,-0.024553636,-5.57417274,-5.56881182
199.526231,-0.0425369146,-0.0224435271,-5.59506285,-5.58947718
204.173794,-0.0412778666,-0.0202334404,-5.61683037,-5.61101173
208.929613,-0.0399592927,-0.0179186126,-5.63950748,-5.63344749
213.796209,-0.0385783691,-0.0154940507,-5.66312715,-5.65681723
218.776162,-0.0371321374,-0.0129545211,-5.68772314,-5.68115452
223.872114,-0.0356174976,-0.0102945375,-5.71332994,-5.70649367
229.086765,-0.0340312017,-0.00750834831,-5.73998279,-5.73286975
234.422882,-0.0323698461,-0.00458992354,-5.76771762,-5.76031853
239.883292,-0.0306298643,-0.00153294114,-5.79657104,-5.78887649
245.470892,-0.028807519,0.00166922772,-5.82658033,-5.81858073
251.188643,-0.0268988934,0.00502353389,-5.85778335,-5.849469
257.039578,-0.0248998831,0.00853726644,-5.89021852,-5.88157962
263.026799,-0.0228061861,0.0122180695,-5.92392479,-5.91495142
269.15348,-0.0206132938,0.0160739604,-5.95894158,-5.94962374
275.42287,-0.0183164808,0.0201133482,-5.99530869,-5.98563633
281.838293,-0.0159107937,0.0243450537,-6.0330663,-6.0230293
288.40315,-0.0133910405,0.0287783303,-6.07225484,-6.06184307
295.120923,-0.0107517784,0.0334228862,-6.11291496,-6.10211829
301.995172,-0.00798730183,0.0382889075,-6.15508745,-6.14389576
309.029543,-0.00509162886,0.043387083,-6.19881312,-6.18721635
