# relojes.py 2026-09-13T15:25:20-05:00 sha256 c1a1431a00600481ec60da7c30896c65e9041f83086ab0f8109d3cb09029034b
# FREF 12 MHz; REFDIV 1-63; FBDIV 16-320; VCO 750-1600 MHz; POSTDIV1 y POSTDIV2 1-7. Divisor PIO entero 16 bits + fraccion/256; divisor GPOUT0 entero 24 bits + fraccion/256. Tiempos en ns en regimen estable, sin el jitter del PLL.
camino,refdiv,fbdiv,vco_hz,postdiv1,postdiv2,sysclk_hz,divisor,div_int,div_frac,divisor_entero,cumple_ref_min_5mhz,cumple_sysclk_max_133mhz,postdiv1_mayor_o_igual,periodo_sm_pp_ns,mclk_periodo_pp_ns,mclk_tie_pp_ns,duty_min,duty_max,pulso_min_ns,requiere_dc50,cumple_pcm1808
gpout0,1,72,864000000,5,3,57600000,4.6875,4,176,False,True,True,True,,17.36111111111111,,,,,,
gpout0,1,72,864000000,5,4,43200000,3.515625,3,132,False,True,True,True,,23.14814814814815,,,,,,
gpout0,1,72,864000000,5,5,34560000,2.8125,2,208,False,True,True,True,,28.935185185185187,,,,,,
gpout0,1,72,864000000,5,6,28800000,2.34375,2,88,False,True,True,False,,34.72222222222222,,,,,,
gpout0,1,72,864000000,6,1,144000000,11.71875,11,184,False,True,False,True,,6.944444444444445,,,,,,
gpout0,1,72,864000000,6,2,72000000,5.859375,5,220,False,True,True,True,,13.88888888888889,,,,,,
gpout0,1,72,864000000,6,3,48000000,3.90625,3,232,False,True,True,True,,20.833333333333332,,,,,,
gpout0,1,72,864000000,6,4,36000000,2.9296875,2,238,False,True,True,True,,27.77777777777778,,,,,,
gpout0,1,72,864000000,6,5,28800000,2.34375,2,88,False,True,True,True,,34.72222222222222,,,,,,
gpout0,1,73,876000000,1,1,876000000,71.2890625,71,74,False,True,False,True,,1.1415525114155252,,,,,,
gpout0,1,73,876000000,1,2,438000000,35.64453125,35,165,False,True,False,False,,2.2831050228310503,,,,,,
gpout0,1,73,876000000,1,5,175200000,14.2578125,14,66,False,True,False,False,,5.707762557077626,,,,,,
gpout0,1,73,876000000,2,1,438000000,35.64453125,35,165,False,True,False,True,,2.2831050228310503,,,,,,
gpout0,1,73,876000000,2,5,87600000,7.12890625,7,33,False,True,True,False,,11.415525114155251,,,,,,
gpout0,1,73,876000000,5,1,175200000,14.2578125,14,66,False,True,False,True,,5.707762557077626,,,,,,
gpout0,1,73,876000000,5,2,87600000,7.12890625,7,33,False,True,True,True,,11.415525114155251,,,,,,
gpout0,1,73,876000000,5,5,35040000,2.8515625,2,218,False,True,True,True,,28.538812785388128,,,,,,
gpout0,1,74,888000000,1,1,888000000,72.265625,72,68,False,True,False,True,,1.1261261261261262,,,,,,
gpout0,1,74,888000000,1,2,444000000,36.1328125,36,34,False,True,False,False,,2.2522522522522523,,,,,,
gpout0,1,74,888000000,1,4,222000000,18.06640625,18,17,False,True,False,False,,4.504504504504505,,,,,,
gpout0,1,74,888000000,1,5,177600000,14.453125,14,116,False,True,False,False,,5.63063063063063,,,,,,
gpout0,1,74,888000000,2,1,444000000,36.1328125,36,34,False,True,False,True,,2.2522522522522523,,,,,,
gpout0,1,74,888000000,2,2,222000000,18.06640625,18,17,False,True,False,True,,4.504504504504505,,,,,,
gpout0,1,74,888000000,2,5,88800000,7.2265625,7,58,False,True,True,False,,11.26126126126126,,,,,,
gpout0,1,74,888000000,4,1,222000000,18.06640625,18,17,False,True,False,True,,4.504504504504505,,,,,,
gpout0,1,74,888000000,4,5,44400000,3.61328125,3,157,False,True,True,False,,22.52252252252252,,,,,,
gpout0,1,74,888000000,5,1,177600000,14.453125,14,116,False,True,False,True,,5.63063063063063,,,,,,
gpout0,1,74,888000000,5,2,88800000,7.2265625,7,58,False,True,True,True,,11.26126126126126,,,,,,
gpout0,1,74,888000000,5,4,44400000,3.61328125,3,157,False,True,True,True,,22.52252252252252,,,,,,
gpout0,1,74,888000000,5,5,35520000,2.890625,2,228,False,True,True,True,,28.153153153153152,,,,,,
gpout0,1,75,900000000,1,1,900000000,73.2421875,73,62,False,True,False,True,,1.1111111111111112,,,,,,
gpout0,1,75,900000000,1,2,450000000,36.62109375,36,159,False,True,False,False,,2.2222222222222223,,,,,,
gpout0,1,75,900000000,1,3,300000000,24.4140625,24,106,False,True,False,False,,3.3333333333333335,,,,,,
gpout0,1,75,900000000,1,5,180000000,14.6484375,14,166,False,True,False,False,,5.555555555555555,,,,,,
gpout0,1,75,900000000,1,6,150000000,12.20703125,12,53,False,True,False,False,,6.666666666666667,,,,,,
gpout0,1,75,900000000,2,1,450000000,36.62109375,36,159,False,True,False,True,,2.2222222222222223,,,,,,
gpout0,1,75,900000000,2,3,150000000,12.20703125,12,53,False,True,False,False,,6.666666666666667,,,,,,
gpout0,1,75,900000000,2,5,90000000,7.32421875,7,83,False,True,True,False,,11.11111111111111,,,,,,
gpout0,1,75,900000000,3,1,300000000,24.4140625,24,106,False,True,False,True,,3.3333333333333335,,,,,,
gpout0,1,75,900000000,3,2,150000000,12.20703125,12,53,False,True,False,True,,6.666666666666667,,,,,,
gpout0,1,75,900000000,3,5,60000000,4.8828125,4,226,False,True,True,False,,16.666666666666668,,,,,,
gpout0,1,75,900000000,5,1,180000000,14.6484375,14,166,False,True,False,True,,5.555555555555555,,,,,,
gpout0,1,75,900000000,5,2,90000000,7.32421875,7,83,False,True,True,True,,11.11111111111111,,,,,,
gpout0,1,75,900000000,5,3,60000000,4.8828125,4,226,False,True,True,True,,16.666666666666668,,,,,,
gpout0,1,75,900000000,5,5,36000000,2.9296875,2,238,False,True,True,True,,27.77777777777778,,,,,,
gpout0,1,75,900000000,5,6,30000000,2.44140625,2,113,False,True,True,False,,33.333333333333336,,,,,,
